iter	Passed	Remaining
0	474	474012
1	765	381811
2	1024	340408
3	1350	336248
4	1723	342902
5	2055	340497
6	2402	340857
7	2733	338895
8	3036	334311
9	3300	326793
10	3557	319863
11	3814	314025
12	4071	309155
13	4313	303775
14	4557	299255
15	4855	298600
16	5130	296668
17	5408	295056
18	5647	291564
19	5888	288544
20	6217	289860
21	6517	289734
22	6809	289264
23	7063	287268
24	7311	285130
25	7551	282894
26	7810	281475
27	8057	279711
28	8303	278039
29	8599	278066
30	8865	277108
31	9115	275753
32	9347	273901
33	9608	272982
34	9876	272304
35	10121	271027
36	10357	269578
37	10591	268142
38	10839	267099
39	11089	266141
40	11327	264943
41	11551	263489
42	11818	263021
43	12145	263883
44	12390	262951
45	12644	262228
46	12877	261108
47	13107	259957
48	13384	259771
49	13613	258654
50	13816	257098
51	14042	256011
52	14248	254595
53	14446	253088
54	14660	251893
55	14915	251435
56	15165	250900
57	15404	250186
58	15629	249282
59	15872	248672
60	16127	248261
61	16359	247496
62	16589	246739
63	16852	246462
64	17107	246084
65	17339	245382
66	17593	244998
67	17824	244305
68	18113	244405
69	18370	244062
70	18849	246632
71	19428	250415
72	20927	265751
73	22233	278216
74	22940	282935
75	23602	286954
76	25749	308664
77	26866	317578
78	27632	322150
79	28685	329878
80	29396	333521
81	30198	338079
82	31472	347717
83	33134	361323
84	34190	368047
85	35196	374067
86	36420	382202
87	37634	390025
88	38694	396076
89	39661	401023
90	40833	407888
91	41767	412224
92	42774	417164
93	43882	422950
94	44937	428093
95	45986	433042
96	46963	437192
97	47799	439948
98	48841	444511
99	49906	449157
100	50684	451140
101	51468	453125
102	52448	456757
103	53227	458577
104	54425	463913
105	55440	467586
106	56531	471803
107	57549	475312
108	58531	478455
109	59490	481332
110	60390	483664
111	61378	486640
112	62377	489636
113	63436	493026
114	64404	495634
115	65284	497515
116	66287	500269
117	67237	502573
118	68176	504736
119	69176	507291
120	70094	509201
121	70947	510588
122	71785	511838
123	72639	513165
124	73646	515524
125	74639	517740
126	75663	520111
127	76679	522376
128	77442	522884
129	78534	525576
130	79464	527131
131	80463	529109
132	81403	530655
133	82326	532048
134	83385	534285
135	84390	536129
136	85321	537461
137	86345	539344
138	87309	540817
139	88378	542897
140	89359	544393
141	90328	545790
142	91301	547170
143	92296	548648
144	93209	549616
145	94584	553253
146	95738	555540
147	96724	556819
148	97724	558142
149	98853	560172
150	100197	563363
151	101114	564112
152	102208	565818
153	103300	567482
154	104827	571476
155	106252	574854
156	107240	575821
157	108696	579256
158	109503	579195
159	110458	579908
160	111408	580572
161	112347	581158
162	113269	581636
163	114216	582227
164	115394	583965
165	116484	585228
166	117585	586518
167	118632	587515
168	119678	588479
169	120634	588979
170	121657	589789
171	123380	593948
172	124458	594952
173	125949	597897
174	126712	597360
175	128116	599818
176	129084	600207
177	130213	601322
178	131116	601380
179	132189	602196
180	133196	602693
181	134322	603712
182	135302	604054
183	136335	604618
184	137444	605498
185	139141	608931
186	140536	610997
187	141842	612638
188	142801	612760
189	143991	613856
190	144778	613224
191	145874	613886
192	147149	615282
193	148155	615533
194	149147	615710
195	150268	616409
196	151242	616487
